Changed At,Unique Key,SKU,Variant ID,Product,Variant,Old Price,New Price,Currency,URL
2026-09-05 06:51:09,VARIANT:42304519569544,92355579,42304519569544,Papillon Ring,6,16400,11000,USD,https://jacobandco.shop/products/papillon-ring-peridot
2026-09-05 06:51:09,VARIANT:42304539656328,92252684,42304539656328,Papillon Ring,6,17800,13800,USD,https://jacobandco.shop/products/papillon-ring-white-gold
2026-09-05 06:51:09,VARIANT:42304539852936,92354900,42304539852936,Papillon Ring,6,15000,11000,USD,https://jacobandco.shop/products/papillon-cathedral-enamel-ring
2026-09-05 06:51:09,VARIANT:42304581697672,92252615,42304581697672,Papillon Ring,6,16900,13600,USD,https://jacobandco.shop/products/papillon-open-wing-ring
2026-09-05 06:51:09,VARIANT:42304582058120,92355280,42304582058120,Papillon Ring,6,15600,13800,USD,https://jacobandco.shop/products/papillon-ring-pink-sapphires
2026-09-05 06:51:09,VARIANT:42470033424520,92354908,42470033424520,Papillon Ring,6,15000,11000,USD,https://jacobandco.shop/products/papillon-ring-tsavorite
2026-09-05 06:51:09,VARIANT:42470025592968,92354901,42470025592968,Papillon Ring,7,15000,11000,USD,https://jacobandco.shop/products/papillon-cathedral-enamel-ring
2026-09-05 06:51:09,VARIANT:42470033457288,92354909,42470033457288,Papillon Ring,7,15000,11000,USD,https://jacobandco.shop/products/papillon-ring-tsavorite
2026-09-05 06:51:09,VARIANT:41318242713736,92252770,41318242713736,Papillon Ring,Default Title,11300,8800,USD,https://jacobandco.shop/products/papillon-ring
2026-09-05 06:51:09,VARIANT:44358460309640,92046681,44358460309640,Rare Touch Diamond Choker,Default Title,290000,220000,USD,https://jacobandco.shop/products/rare-touch-bigger-flat-diamond-choker
2026-09-05 06:51:09,VARIANT:44358663438472,92148351,44358663438472,Rare Touch Diamond Choker,Default Title,290000,260000,USD,https://jacobandco.shop/products/rare-touch-rose-gold-diamond-choker
2026-09-05 06:51:09,VARIANT:44360549499016,91738877,44360549499016,Rare Touch Diamond Tie,Default Title,131300,92000,USD,https://jacobandco.shop/products/rare-touch-white-gold-diamond-tie
2026-09-05 06:51:09,VARIANT:43973843681416,91535591,43973843681416,Rare Touch Earrings,Default Title,55800,36400,USD,https://jacobandco.shop/products/rare-touch-choker-earrings
2026-09-05 06:51:09,VARIANT:44356448157832,91637303,44356448157832,Rare Touch Earrings,Default Title,29800,21300,USD,https://jacobandco.shop/products/rare-touch-rigid-mesh-earrings
2026-09-05 06:51:09,VARIANT:42089583280264,92561619,42089583280264,Roulette Casino Cufflinks,Default Title,5700,20000,USD,https://jacobandco.shop/products/roulette-casino-cufflinks-ss-diamonds
2026-09-05 06:51:09,VARIANT:42089641934984,92561618,42089641934984,Roulette Casino Cufflinks,Default Title,34500,20000,USD,https://jacobandco.shop/products/roulette-casino-cufflinks-rosegold-diamond
2026-09-05 06:51:09,VARIANT:42089648062600,92561620,42089648062600,Roulette Casino Cufflinks,Default Title,1100,20000,USD,https://jacobandco.shop/products/roulette-casino-cufflinks-stainless-steel
2026-09-05 06:51:09,VARIANT:42304705626248,92251934,42304705626248,Securus Ruby Bracelet,18cm,8000,5000,USD,https://jacobandco.shop/products/small-securus-ruby-bracelet
2026-09-05 06:51:09,VARIANT:42304703692936,92251932,42304703692936,Securus Sapphire Bracelet,18cm,8000,5000,USD,https://jacobandco.shop/products/small-securus-sapphire-bracelet
2026-09-05 06:51:09,VARIANT:42304704315528,92251932,42304704315528,Securus Tsavorites Bracelet,18cm,8000,5000,USD,https://jacobandco.shop/products/small-securus-tsavorites-bracelet
2026-09-05 06:51:09,VARIANT:42305067974792,92356203,42305067974792,Sharq Bracelet,18cm,5900,2200,USD,https://jacobandco.shop/products/sharq-bracelet
2026-09-05 06:51:09,VARIANT:42305068171400,92457260,42305068171400,Sharq Bracelet,18cm,5900,2200,USD,https://jacobandco.shop/products/sharq-bracelet-1
2026-09-05 06:51:09,VARIANT:42305118470280,92457262,42305118470280,Sharq Bracelet,18cm,5900,2200,USD,https://jacobandco.shop/products/sharq-bracelet-6
2026-09-05 06:51:09,VARIANT:42305119912072,92149935,42305119912072,Sharq Diamond Bracelet,21cm,6800,3800,USD,https://jacobandco.shop/products/sharq-bracelet-5
2026-09-05 06:51:09,VARIANT:40391855702152,92354653,40391855702152,Sharq Diamond Bracelet,Default Title,6800,2700,USD,https://jacobandco.shop/products/sharq-bracelet-2
2026-09-05 06:51:09,VARIANT:40415025430664,92149934,40415025430664,Sharq Diamond Bracelet,Default Title,6800,3800,USD,https://jacobandco.shop/products/sharq-bracelet-4
2026-09-05 06:51:09,VARIANT:40391896989832,92354172,40391896989832,Sharq Diamond Necklace,Default Title,5700,3000,USD,https://jacobandco.shop/products/sharq-necklace-1
2026-09-05 06:51:09,VARIANT:40391911932040,92150530,40391911932040,Sharq Necklace,Default Title,10500,4200,USD,https://jacobandco.shop/products/sharq-necklace-2
2026-09-05 06:51:09,VARIANT:41140290322568,92354465,41140290322568,Sharq Necklace,Default Title,10500,4200,USD,https://jacobandco.shop/products/sharq-necklace
2026-09-05 06:51:09,VARIANT:44358636765320,92562378,44358636765320,Sharq Necklace,Default Title,10500,8300,USD,https://jacobandco.shop/products/sharq-necklace-rose-gold
2026-09-05 06:51:09,VARIANT:40414984306824,92149933,40414984306824,Sharq Pendant,Default Title,21000,15300,USD,https://jacobandco.shop/products/sharq-pendant-1
2026-09-05 06:51:09,VARIANT:40414994694280,92459241,40414994694280,Sharq Pendant,Default Title,21000,15300,USD,https://jacobandco.shop/products/sharq-pendant-2
